record_id,ticker,query_session_date,predicted_movement,historical_rank,historical_article_id,historical_session_date,historical_source_url,historical_movement_label,historical_reaction_return,text_similarity,candidate_scope,retrieval_rule
84,AMD,2019-10-31,Up,5,de898538bc81e3dcff58ded0,2018-02-28,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/amd-12302017x10k.htm,Down,-0.0335195530726256,1.0,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
85,META,2019-10-31,Up,1,d52f66950abae185cd530c54,2016-04-28,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000063/a1231201510-ka.htm,Up,0.0719992653134335,0.6789411440278049,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
85,META,2019-10-31,Up,2,b1588a144dee19109c034d58,2016-07-29,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000082/fb-6302016x10q.htm,Down,-0.0084799999999131,0.6789411440278049,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
85,META,2019-10-31,Up,3,7f05d61c288f0d937fe86014,2018-11-01,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000067/fb-09302018x10q.htm,Flat,-0.000263521971242,0.6789411440278049,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
85,META,2019-10-31,Up,4,f686dd4983a5761687813631,2019-02-01,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/fb-12312018x10k.htm,Down,-0.0058791769155939,0.6789411440278049,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
85,META,2019-10-31,Up,5,0430399413270be17b791278,2017-05-05,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000024/fb-03312017x10q.htm,Flat,-0.0040437520717548,0.6789411440278049,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
86,AAPL,2019-11-01,Down,1,84b8a5a49cb82a6e97e8b7b8,2016-12-16,https://www.sec.gov/Archives/edgar/data/320193/000162828016022047/form8-k121316.htm,Flat,0.0012951131070848,0.13026353428950338,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
86,AAPL,2019-11-01,Down,2,b778ec12d91612c8fc073d1e,2018-02-02,https://www.sec.gov/Archives/edgar/data/320193/000032019318000005/a8-kq1201812302017.htm,Down,-0.0433901537715257,0.13026353428950338,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
86,AAPL,2019-11-01,Down,3,b7dd76f25cf5d020b68c702a,2015-12-18,https://www.sec.gov/Archives/edgar/data/320193/000119312515406279/d107635d8k.htm,Down,-0.0270691870067514,0.13026353428950338,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
86,AAPL,2019-11-01,Down,4,09090bda4d4a7a125bd1d486,2018-05-02,https://www.sec.gov/Archives/edgar/data/320193/000032019318000067/a8-kq220183312018.htm,Up,0.0441750443536703,0.13026353428950338,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
86,AAPL,2019-11-01,Down,5,bc0a9ec8ec36e4704438714c,2017-05-03,https://www.sec.gov/Archives/edgar/data/320193/000162828017004663/a8-kq22017412017.htm,Flat,-0.0030506406367118,0.13026353428950338,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
87,AAPL,2019-11-07,Up,1,8c5795daf5a9ea7b5a76a6fa,2015-02-02,https://www.sec.gov/Archives/edgar/data/320193/000119312515028777/d861669d424b2.htm,Up,0.0125469443487786,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
87,AAPL,2019-11-07,Up,2,746a3ebb980981ecc102f196,2015-02-04,https://www.sec.gov/Archives/edgar/data/320193/000119312515031599/d861669d424b2.htm,Up,0.0076696165164842,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
87,AAPL,2019-11-07,Up,3,c834f7fd2d241fbc580541d5,2015-07-24,https://www.sec.gov/Archives/edgar/data/320193/000119312515261843/d12679d424b2.htm,Down,-0.0052732502396898,0.21196810951540132,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
87,AAPL,2019-11-07,Up,4,87aa90d0e405c1de724dfad8,2015-07-28,https://www.sec.gov/Archives/edgar/data/320193/000119312515264078/d12679d424b2.htm,Flat,0.004968640546586,0.21196810951540132,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
87,AAPL,2019-11-07,Up,5,917708a69dca61cadd1c7367,2016-08-01,https://www.sec.gov/Archives/edgar/data/320193/000119312516664603/d219391d424b2.htm,Up,0.0176566548296395,0.21196810951540132,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
88,AAPL,2019-11-08,Flat,1,ee374d9c0e1148334f1fd696,2015-05-07,https://www.sec.gov/Archives/edgar/data/320193/000119312515175208/d889792dfwp.htm,Up,0.006159507239309,1.0,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
88,AAPL,2019-11-08,Flat,2,12fc91d31be1f07e0ff87015,2017-09-06,https://www.sec.gov/Archives/edgar/data/320193/000119312517276961/d451794dfwp.htm,Flat,-0.0010488647601394,1.0,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
88,AAPL,2019-11-08,Flat,3,34c2675c906ffac511e5e0f2,2015-09-11,https://www.sec.gov/Archives/edgar/data/320193/000119312515317144/d92507dfwp.htm,Up,0.0145687128029181,1.0,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
88,AAPL,2019-11-08,Flat,4,98fda0bb7659b94790b788a6,2017-06-14,https://www.sec.gov/Archives/edgar/data/320193/000119312517202772/d413957dfwp.htm,Down,-0.0097550992557666,1.0,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
88,AAPL,2019-11-08,Flat,5,29da1272eb4f908b9fc1cf9d,2016-02-17,https://www.sec.gov/Archives/edgar/data/320193/000119312516466166/d136832dfwp.htm,Up,0.0153145695351706,1.0,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
89,AAPL,2019-11-11,Up,1,8c5795daf5a9ea7b5a76a6fa,2015-02-02,https://www.sec.gov/Archives/edgar/data/320193/000119312515028777/d861669d424b2.htm,Up,0.0125469443487786,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
89,AAPL,2019-11-11,Up,2,746a3ebb980981ecc102f196,2015-02-04,https://www.sec.gov/Archives/edgar/data/320193/000119312515031599/d861669d424b2.htm,Up,0.0076696165164842,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
89,AAPL,2019-11-11,Up,3,c834f7fd2d241fbc580541d5,2015-07-24,https://www.sec.gov/Archives/edgar/data/320193/000119312515261843/d12679d424b2.htm,Down,-0.0052732502396898,0.21196810951540132,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
89,AAPL,2019-11-11,Up,4,87aa90d0e405c1de724dfad8,2015-07-28,https://www.sec.gov/Archives/edgar/data/320193/000119312515264078/d12679d424b2.htm,Flat,0.004968640546586,0.21196810951540132,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
89,AAPL,2019-11-11,Up,5,917708a69dca61cadd1c7367,2016-08-01,https://www.sec.gov/Archives/edgar/data/320193/000119312516664603/d219391d424b2.htm,Up,0.0176566548296395,0.21196810951540132,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
